name,theta_E_pred_arcsec,theta_E_pub_arcsec
J0029-0055,0.9183,0.9600
J0037-0942,0.6674,1.5300
J0044+0113,1.3358,0.7900
J0109+1500,0.7688,0.6900
J0157-0056,0.6656,0.7900
J0252+0039,1.0037,1.0400
J0405-0455,1.5123,0.8000
J0728+3835,1.0647,1.2500
J0737+3216,1.1587,1.0000
J0822+2652,1.4052,1.1700
J0841+3824,0.5359,1.4100
J0912+0029,0.8449,1.6300
J0935-0003,0.6700,0.8700
J0936+0913,0.6262,1.0900
J0946+1006,1.2256,1.3800
J0955+0101,1.8755,0.9100
J0959+4416,0.5448,0.9600
J0959+0410,0.6648,0.9900
J1016+3859,0.8270,1.0900
J1023+4230,1.3556,1.4100
J1029+0420,1.0945,1.0100
J1032+5322,0.5801,1.0300
J1103+5322,1.0559,1.0200
J1106+5228,1.5491,1.2300
J1134+6027,1.1884,1.1000
J1142+1001,0.8622,0.9800
J1143-0144,0.9701,1.6800
J1153+4612,1.0041,1.0500
J1204+0358,1.4429,1.3100
J1205+4910,0.7994,1.2200
J1213+6708,0.7144,1.4200
J1218+0830,1.6881,1.4500
J1250+0523,0.7895,1.1300
J1251-0208,0.8936,0.8400
J1402+6321,0.9604,1.3500
J1403+0006,0.8727,0.8300
J1420+6019,1.4173,1.0400
J1432+6317,1.0309,1.2600
J1436-0000,0.6323,1.1200
J1443+0304,0.9163,0.8100
J1451-0239,0.7033,1.0400
J1531-0105,0.7730,1.7100
J1538+5817,0.9489,1.0000
J1621+3931,0.8702,1.2900
J1627-0053,1.0896,1.2300
J1636+4707,0.9588,1.0900
J2238-0754,0.9184,1.2700
J2300+0022,0.9169,1.2400
J2303+1422,0.9097,1.6200
J2321-0939,1.0484,1.6000
J2341+0000,1.3166,1.4400
