coord,arc_radius_arcsec,source
001423.02-302109.8,1.52,Pawase et al. 2014 MNRAS 439 3392 Table 3
001426.26-302255.9,1.0,Pawase et al. 2014 MNRAS 439 3392 Table 3
011018.22+193819.5,3.1,Pawase et al. 2014 MNRAS 439 3392 Table 3
084710.65+344826.4,1.98,Pawase et al. 2014 MNRAS 439 3392 Table 3
095139.44+684731.2,0.77,Pawase et al. 2014 MNRAS 439 3392 Table 3
103751.40-124327.5,1.48,Pawase et al. 2014 MNRAS 439 3392 Table 3
122332.64-123940.3,0.36,Pawase et al. 2014 MNRAS 439 3392 Table 3
130042.73+280523.3,1.08,Pawase et al. 2014 MNRAS 439 3392 Table 3
140237.11+542716.4,1.85,Pawase et al. 2014 MNRAS 439 3392 Table 3
140339.94+541633.3,0.9,Pawase et al. 2014 MNRAS 439 3392 Table 3
171817.43+593146.4,2.35,Pawase et al. 2014 MNRAS 439 3392 Table 3
221501.12-135822.9,0.82,Pawase et al. 2014 MNRAS 439 3392 Table 3
235130.60-261459.7,3.32,Pawase et al. 2014 MNRAS 439 3392 Table 3
